trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met,enrollment_rate,patients_per_site,enrollment_achievement_pct,is_multi_site,is_multi_region,size_category,duration_category,overall_success,enrollment_success_level
TRIAL-0143,Phase 2,Breast Cancer,Global BioResearch,Double Blind,2018,2020,25,155,145,6,2,True,True,5.8,24.2,93.5,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0144,Phase 1,Prostate Cancer,NovaCure Biotech,Open Label,2019,2020,18,18,16,2,1,False,False,0.89,8.0,88.9,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0145,Phase 3,Lung Cancer,OncoPharm Therapeutics,Double Blind,2020,2024,47,419,411,18,2,True,True,8.74,22.8,98.1,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0146,Phase 2,Lymphoma,Apex Oncology Labs,Open Label,2021,2023,28,83,77,6,1,True,False,2.75,12.8,92.8,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0147,Phase 2,Melanoma,OncoPharm Therapeutics,Open Label,2018,2020,25,20,19,3,1,True,True,0.76,6.3,95.0,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0148,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2018,2019,14,26,24,2,1,True,False,1.71,12.0,92.3,True,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0149,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2022,2024,21,39,38,3,1,True,True,1.81,12.7,97.4,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0150,Phase 2,Breast Cancer,NovaCure Biotech,Open Label,2020,2023,31,66,64,2,1,True,True,2.06,32.0,97.0,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0151,Phase 3,Lymphoma,Apex Oncology Labs,Double Blind,2019,2023,43,375,316,5,2,False,False,7.35,63.2,84.3,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0152,Phase 4,Lung Cancer,NovaCure Biotech,Double Blind,2021,2025,42,269,211,12,2,False,True,5.02,17.6,78.4,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0153,Phase 2,Leukemia,Global BioResearch,Single Blind,2018,2020,23,109,84,3,1,False,True,3.65,28.0,77.1,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0154,Phase 2,Leukemia,Apex Oncology Labs,Double Blind,2019,2020,16,131,126,8,2,True,True,7.88,15.8,96.2,True,True,medium (50-150),short(<18mo),True,Met Target
TRIAL-0155,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2019,2021,19,17,16,1,1,True,True,0.84,16.0,94.1,False,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0156,Phase 2,Pancreatic Cancer,Clinical Research Group A,Double Blind,2022,2025,31,97,90,6,2,True,False,2.9,15.0,92.8,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0157,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Single Blind,2020,2023,30,103,102,7,1,True,True,3.4,14.6,99.0,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0158,Phase 1,Pancreatic Cancer,NovaCure Biotech,Open Label,2020,2021,21,15,12,2,1,False,False,0.57,6.0,80.0,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0159,Phase 3,Lymphoma,NovaCure Biotech,Double Blind,2022,2026,50,401,391,6,1,True,True,7.82,65.2,97.5,True,False,large (150-400),long(36mo+),True,Met Target
TRIAL-0160,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Single Blind,2020,2022,14,70,61,8,2,False,True,4.36,7.6,87.1,True,True,medium (50-150),short(<18mo),False,Near Target
TRIAL-0161,Phase 1,Prostate Cancer,Clinical Research Group A,Open Label,2022,2023,8,32,29,2,1,True,True,3.62,14.5,90.6,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0162,Phase 2,Melanoma,NovaCure Biotech,Single Blind,2018,2021,28,61,53,4,2,False,True,1.89,13.2,86.9,True,True,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0163,Phase 2,Lymphoma,Apex Oncology Labs,Open Label,2022,2023,20,105,99,8,2,True,True,4.95,12.4,94.3,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0164,Phase 3,Leukemia,Apex Oncology Labs,Triple Blind,2023,2028,60,264,245,17,1,True,False,4.08,14.4,92.8,True,False,large (150-400),long(36mo+),False,Met Target
TRIAL-0165,Phase 2,Leukemia,MedTrials International,Open Label,2023,2025,23,114,111,7,2,True,True,4.83,15.9,97.4,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0166,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2020,2024,46,412,386,10,2,True,True,8.39,38.6,93.7,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0167,Phase 1,Lung Cancer,Apex Oncology Labs,Single Blind,2022,2024,21,29,28,1,1,True,False,1.33,28.0,96.6,False,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0168,Phase 2,Leukemia,MedTrials International,Double Blind,2019,2022,35,83,78,6,1,True,False,2.23,13.0,94.0,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0169,Phase 2,Colorectal Cancer,Clinical Research Group A,Single Blind,2023,2025,27,78,76,5,1,True,True,2.81,15.2,97.4,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0170,Phase 3,Pancreatic Cancer,Global BioResearch,Double Blind,2021,2023,31,462,417,34,3,True,False,13.45,12.3,90.3,True,True,very large (400+),medium(18-36mo),False,Met Target
TRIAL-0171,Phase 2,Pancreatic Cancer,NovaCure Biotech,Double Blind,2022,2024,27,116,103,8,1,False,False,3.81,12.9,88.8,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0172,Phase 3,Colorectal Cancer,MedTrials International,Double Blind,2022,2026,50,233,219,20,3,True,False,4.38,11.0,94.0,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0173,Phase 3,Melanoma,OncoPharm Therapeutics,Triple Blind,2022,2026,47,291,237,13,2,False,True,5.04,18.2,81.4,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0174,Phase 4,Prostate Cancer,MedTrials International,Single Blind,2021,2023,36,240,208,16,3,False,True,5.78,13.0,86.7,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0175,Phase 1,Lung Cancer,Apex Oncology Labs,Open Label,2018,2020,19,30,29,2,1,True,True,1.53,14.5,96.7,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0176,Phase 1,Breast Cancer,Apex Oncology Labs,Single Blind,2023,2024,13,25,24,2,1,True,False,1.85,12.0,96.0,True,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0177,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2019,2022,30,143,132,3,1,True,True,4.4,44.0,92.3,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0178,Phase 2,Melanoma,Global BioResearch,Single Blind,2019,2022,36,126,111,2,1,False,False,3.08,55.5,88.1,True,False,medium (50-150),long(36mo+),False,Near Target
TRIAL-0179,Phase 2,Lung Cancer,MedTrials International,Double Blind,2023,2025,24,84,79,6,1,True,True,3.29,13.2,94.0,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0180,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2022,2023,15,44,43,3,1,True,True,2.87,14.3,97.7,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0181,Phase 1,Leukemia,OncoPharm Therapeutics,Single Blind,2022,2024,17,16,15,3,1,True,True,0.88,5.0,93.8,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0182,Phase 3,Breast Cancer,Clinical Research Group A,Double Blind,2018,2021,36,423,362,16,2,False,True,10.06,22.6,85.6,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0183,Phase 1,Lung Cancer,MedTrials International,Open Label,2019,2020,12,39,36,2,1,True,True,3.0,18.0,92.3,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0184,Phase 3,Colorectal Cancer,MedTrials International,Triple Blind,2021,2026,53,438,413,44,3,True,False,7.79,9.4,94.3,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0185,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2019,2020,14,23,22,1,1,True,False,1.57,22.0,95.7,False,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0186,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Open Label,2020,2021,23,135,133,7,1,True,False,5.78,19.0,98.5,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0187,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2021,2024,40,83,78,7,1,True,True,1.95,11.1,94.0,True,False,medium (50-150),long(36mo+),True,Met Target
TRIAL-0188,Phase 2,Melanoma,MedTrials International,Open Label,2022,2024,24,153,115,5,1,False,True,4.79,23.0,75.2,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0189,Phase 1,Leukemia,Clinical Research Group A,Open Label,2022,2024,17,32,30,2,1,True,True,1.76,15.0,93.8,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0190,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2021,2023,22,76,69,4,2,True,False,3.14,17.2,90.8,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0191,Phase 4,Lung Cancer,Clinical Research Group A,Double Blind,2023,2028,61,168,159,16,2,True,False,2.61,9.9,94.6,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0192,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2023,2025,23,24,22,1,1,True,True,0.96,22.0,91.7,False,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0193,Phase 2,Colorectal Cancer,Clinical Research Group A,Single Blind,2018,2021,34,117,106,4,1,True,True,3.12,26.5,90.6,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0194,Phase 2,Melanoma,Global BioResearch,Double Blind,2023,2026,37,115,105,2,1,True,True,2.84,52.5,91.3,True,False,medium (50-150),long(36mo+),True,Met Target
TRIAL-0195,Phase 4,Lung Cancer,Apex Oncology Labs,Double Blind,2022,2025,39,189,170,19,2,False,False,4.36,8.9,89.9,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0196,Phase 2,Lung Cancer,Global BioResearch,Double Blind,2023,2026,38,88,85,5,1,True,False,2.24,17.0,96.6,True,False,medium (50-150),long(36mo+),False,Met Target
TRIAL-0197,Phase 4,Leukemia,Clinical Research Group A,Single Blind,2020,2023,42,211,205,7,1,True,True,4.88,29.3,97.2,True,False,large (150-400),long(36mo+),True,Met Target
TRIAL-0198,Phase 3,Colorectal Cancer,MedTrials International,Double Blind,2019,2023,50,616,573,29,1,True,False,11.46,19.8,93.0,True,False,very large (400+),long(36mo+),False,Met Target
TRIAL-0199,Phase 1,Leukemia,NovaCure Biotech,Single Blind,2019,2020,15,29,23,3,1,False,True,1.53,7.7,79.3,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0200,Phase 2,Pancreatic Cancer,Helix Therapeutics,Single Blind,2018,2019,19,105,99,5,2,True,True,5.21,19.8,94.3,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0201,Phase 2,Leukemia,Global BioResearch,Double Blind,2022,2024,23,135,105,8,1,False,False,4.57,13.1,77.8,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0202,Phase 2,Breast Cancer,MedTrials International,Open Label,2020,2022,27,111,107,3,1,True,True,3.96,35.7,96.4,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0203,Phase 3,Leukemia,Helix Therapeutics,Triple Blind,2023,2026,35,255,199,7,1,False,True,5.69,28.4,78.0,True,False,large (150-400),medium(18-36mo),False,Near Target
TRIAL-0204,Phase 2,Lung Cancer,Helix Therapeutics,Double Blind,2019,2021,23,121,117,6,2,True,True,5.09,19.5,96.7,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0205,Phase 4,Leukemia,MedTrials International,Double Blind,2018,2019,20,239,219,6,2,True,False,10.95,36.5,91.6,True,True,large (150-400),medium(18-36mo),False,Met Target
TRIAL-0206,Phase 3,Melanoma,Clinical Research Group A,Double Blind,2018,2022,50,330,322,18,2,True,False,6.44,17.9,97.6,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0207,Phase 2,Melanoma,NovaCure Biotech,Open Label,2020,2023,30,62,59,8,2,True,False,1.97,7.4,95.2,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0208,Phase 1,Lymphoma,NovaCure Biotech,Open Label,2022,2023,20,34,31,2,1,True,False,1.55,15.5,91.2,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0209,Phase 2,Leukemia,NovaCure Biotech,Open Label,2018,2020,22,105,100,4,1,True,True,4.55,25.0,95.2,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0210,Phase 2,Prostate Cancer,Global BioResearch,Open Label,2022,2023,16,154,143,4,2,True,False,8.94,35.8,92.9,True,True,medium (50-150),short(<18mo),False,Met Target
TRIAL-0211,Phase 4,Leukemia,Helix Therapeutics,Double Blind,2021,2024,31,250,235,11,3,True,True,7.58,21.4,94.0,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0212,Phase 2,Breast Cancer,OncoPharm Therapeutics,Double Blind,2021,2024,34,27,21,3,1,False,True,0.62,7.0,77.8,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0213,Phase 1,Melanoma,NovaCure Biotech,Open Label,2023,2025,17,20,14,3,1,False,True,0.82,4.7,70.0,True,False,Small (<50),short(<18mo),False,Below Target
TRIAL-0214,Phase 3,Lymphoma,Global BioResearch,Triple Blind,2020,2024,58,284,283,16,3,True,True,4.88,17.7,99.6,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0215,Phase 2,Leukemia,Helix Therapeutics,Open Label,2022,2023,19,106,98,5,1,True,False,5.16,19.6,92.5,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0216,Phase 3,Lung Cancer,Global BioResearch,Triple Blind,2020,2025,55,371,366,17,2,True,False,6.65,21.5,98.7,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0217,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2019,2021,18,43,36,1,1,False,False,2.0,36.0,83.7,False,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0218,Phase 2,Colorectal Cancer,Helix Therapeutics,Double Blind,2020,2023,31,80,71,3,1,False,True,2.29,23.7,88.8,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0219,Phase 4,Melanoma,Helix Therapeutics,Single Blind,2020,2024,49,262,213,20,3,False,True,4.35,10.6,81.3,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0220,Phase 2,Lung Cancer,NovaCure Biotech,Double Blind,2023,2025,22,105,98,8,2,True,True,4.45,12.2,93.3,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0221,Phase 2,Prostate Cancer,Clinical Research Group A,Open Label,2023,2026,32,80,78,5,1,True,False,2.44,15.6,97.5,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0222,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Double Blind,2018,2022,45,82,73,7,1,False,True,1.62,10.4,89.0,True,False,medium (50-150),long(36mo+),False,Near Target
TRIAL-0223,Phase 2,Prostate Cancer,NovaCure Biotech,Double Blind,2023,2025,25,101,92,6,2,True,False,3.68,15.3,91.1,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0224,Phase 2,Leukemia,Clinical Research Group A,Single Blind,2019,2022,33,49,47,5,1,True,True,1.42,9.4,95.9,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0225,Phase 2,Melanoma,Helix Therapeutics,Single Blind,2020,2023,29,63,62,3,1,True,True,2.14,20.7,98.4,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0226,Phase 4,Melanoma,MedTrials International,Open Label,2021,2024,31,262,235,11,2,False,True,7.58,21.4,89.7,True,True,large (150-400),medium(18-36mo),False,Near Target
TRIAL-0227,Phase 4,Melanoma,Apex Oncology Labs,Open Label,2021,2025,50,189,178,17,3,True,False,3.56,10.5,94.2,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0228,Phase 2,Melanoma,Clinical Research Group A,Open Label,2023,2026,31,141,112,5,2,False,True,3.61,22.4,79.4,True,True,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0229,Phase 2,Melanoma,Global BioResearch,Open Label,2019,2021,27,83,81,7,1,True,False,3.0,11.6,97.6,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0230,Phase 1,Prostate Cancer,OncoPharm Therapeutics,Open Label,2023,2024,16,41,38,2,1,True,True,2.38,19.0,92.7,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0231,Phase 1,Colorectal Cancer,NovaCure Biotech,Open Label,2021,2022,11,41,38,2,1,True,False,3.45,19.0,92.7,True,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0232,Phase 2,Melanoma,Clinical Research Group A,Open Label,2022,2024,30,134,126,8,1,True,False,4.2,15.8,94.0,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0233,Phase 3,Breast Cancer,Global BioResearch,Double Blind,2018,2020,29,407,331,10,2,False,True,11.41,33.1,81.3,True,True,large (150-400),medium(18-36mo),False,Near Target
TRIAL-0234,Phase 4,Melanoma,OncoPharm Therapeutics,Open Label,2020,2023,44,174,172,8,2,True,False,3.91,21.5,98.9,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0235,Phase 2,Pancreatic Cancer,Global BioResearch,Double Blind,2018,2021,36,90,83,5,1,True,False,2.31,16.6,92.2,True,False,medium (50-150),long(36mo+),False,Met Target
TRIAL-0236,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2023,2025,26,107,106,8,1,True,True,4.08,13.2,99.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0237,Phase 2,Lymphoma,MedTrials International,Single Blind,2023,2025,33,121,119,4,1,True,False,3.61,29.8,98.3,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0238,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2021,2022,12,97,95,3,1,True,True,7.92,31.7,97.9,True,False,medium (50-150),short(<18mo),True,Met Target
TRIAL-0239,Phase 3,Breast Cancer,Apex Oncology Labs,Double Blind,2018,2024,73,491,464,30,1,True,True,6.36,15.5,94.5,True,False,very large (400+),long(36mo+),True,Met Target
TRIAL-0240,Phase 3,Melanoma,Clinical Research Group A,Double Blind,2019,2022,35,386,360,14,2,True,True,10.29,25.7,93.3,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0241,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2023,2026,34,81,80,5,2,True,True,2.35,16.0,98.8,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0242,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2022,2026,52,449,416,38,1,True,False,8.0,10.9,92.7,True,False,very large (400+),long(36mo+),False,Met Target
TRIAL-0243,Phase 4,Prostate Cancer,Helix Therapeutics,Double Blind,2022,2026,47,212,181,10,1,False,True,3.85,18.1,85.4,True,False,large (150-400),long(36mo+),False,Near Target
TRIAL-0244,Phase 3,Pancreatic Cancer,OncoPharm Therapeutics,Triple Blind,2021,2024,34,518,481,43,3,True,True,14.15,11.2,92.9,True,True,very large (400+),medium(18-36mo),True,Met Target
TRIAL-0245,Phase 2,Pancreatic Cancer,Clinical Research Group A,Double Blind,2020,2022,27,109,108,7,1,True,True,4.0,15.4,99.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0246,Phase 1,Lymphoma,Apex Oncology Labs,Open Label,2018,2019,20,33,29,3,1,False,True,1.45,9.7,87.9,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0247,Phase 2,Colorectal Cancer,MedTrials International,Double Blind,2021,2024,32,92,85,7,2,True,True,2.66,12.1,92.4,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0248,Phase 4,Lymphoma,NovaCure Biotech,Open Label,2020,2024,49,242,239,9,2,True,False,4.88,26.6,98.8,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0249,Phase 2,Colorectal Cancer,Clinical Research Group A,Double Blind,2018,2021,40,94,90,8,1,True,False,2.25,11.2,95.7,True,False,medium (50-150),long(36mo+),False,Met Target
TRIAL-0250,Phase 2,Lymphoma,MedTrials International,Open Label,2020,2021,10,74,70,5,1,True,False,7.0,14.0,94.6,True,False,medium (50-150),short(<18mo),False,Met Target
TRIAL-0251,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2019,2021,22,46,44,2,1,True,True,2.0,22.0,95.7,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0252,Phase 1,Breast Cancer,Global BioResearch,Open Label,2021,2023,29,26,24,2,1,True,True,0.83,12.0,92.3,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0253,Phase 3,Breast Cancer,Global BioResearch,Double Blind,2023,2029,64,261,235,14,2,True,False,3.67,16.8,90.0,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0254,Phase 3,Leukemia,Global BioResearch,Double Blind,2022,2027,58,456,455,24,3,True,True,7.84,19.0,99.8,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0255,Phase 1,Colorectal Cancer,Clinical Research Group A,Open Label,2021,2022,14,37,30,3,1,False,False,2.14,10.0,81.1,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0256,Phase 3,Leukemia,Clinical Research Group A,Double Blind,2019,2023,46,371,351,9,1,True,True,7.63,39.0,94.6,True,False,large (150-400),long(36mo+),True,Met Target
TRIAL-0257,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2022,2023,13,31,29,1,1,True,True,2.23,29.0,93.5,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0258,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2018,2019,16,39,34,3,1,False,True,2.12,11.3,87.2,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0259,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2018,2019,15,103,101,7,2,True,False,6.73,14.4,98.1,True,True,medium (50-150),short(<18mo),False,Met Target
TRIAL-0260,Phase 2,Prostate Cancer,NovaCure Biotech,Open Label,2018,2020,32,113,105,4,1,True,False,3.28,26.2,92.9,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0261,Phase 1,Pancreatic Cancer,Global BioResearch,Open Label,2019,2020,18,31,28,3,1,True,True,1.56,9.3,90.3,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0262,Phase 3,Lymphoma,NovaCure Biotech,Double Blind,2020,2023,40,404,382,16,2,True,True,9.55,23.9,94.6,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0263,Phase 3,Pancreatic Cancer,MedTrials International,Triple Blind,2021,2024,44,275,265,11,2,True,False,6.02,24.1,96.4,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0264,Phase 3,Breast Cancer,Apex Oncology Labs,Double Blind,2019,2023,51,524,492,41,2,True,True,9.65,12.0,93.9,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0265,Phase 3,Pancreatic Cancer,Helix Therapeutics,Double Blind,2021,2025,45,281,243,15,2,False,False,5.4,16.2,86.5,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0266,Phase 2,Leukemia,Global BioResearch,Open Label,2022,2024,26,96,89,6,1,True,True,3.42,14.8,92.7,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0267,Phase 3,Lung Cancer,MedTrials International,Double Blind,2023,2026,38,344,315,5,1,True,False,8.29,63.0,91.6,True,False,large (150-400),long(36mo+),False,Met Target
TRIAL-0268,Phase 1,Pancreatic Cancer,Apex Oncology Labs,Open Label,2023,2025,15,46,36,3,1,False,True,2.4,12.0,78.3,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0269,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2020,2021,15,35,34,3,1,True,True,2.27,11.3,97.1,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0270,Phase 3,Lymphoma,MedTrials International,Triple Blind,2018,2021,33,298,276,10,1,True,True,8.36,27.6,92.6,True,False,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0271,Phase 2,Melanoma,MedTrials International,Single Blind,2020,2021,12,107,93,8,1,False,True,7.75,11.6,86.9,True,False,medium (50-150),short(<18mo),False,Near Target
TRIAL-0272,Phase 4,Prostate Cancer,Apex Oncology Labs,Double Blind,2023,2024,23,222,208,7,2,True,True,9.04,29.7,93.7,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0273,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2021,2024,32,150,149,7,1,True,False,4.66,21.3,99.3,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0274,Phase 2,Lung Cancer,Helix Therapeutics,Double Blind,2019,2021,20,102,96,3,1,True,True,4.8,32.0,94.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0275,Phase 1,Lung Cancer,Clinical Research Group A,Single Blind,2022,2024,23,28,26,3,1,True,True,1.13,8.7,92.9,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0276,Phase 3,Breast Cancer,Global BioResearch,Double Blind,2020,2023,44,460,349,17,3,False,True,7.93,20.5,75.9,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0277,Phase 3,Lymphoma,Clinical Research Group A,Triple Blind,2023,2027,50,521,482,36,2,True,False,9.64,13.4,92.5,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0278,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2020,2024,46,369,334,12,3,True,False,7.26,27.8,90.5,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0279,Phase 2,Leukemia,OncoPharm Therapeutics,Double Blind,2021,2022,13,76,55,8,2,False,True,4.23,6.9,72.4,True,True,medium (50-150),short(<18mo),False,Below Target
TRIAL-0280,Phase 2,Colorectal Cancer,Clinical Research Group A,Double Blind,2022,2023,10,115,105,5,1,True,True,10.5,21.0,91.3,True,False,medium (50-150),short(<18mo),True,Met Target
TRIAL-0281,Phase 1,Melanoma,Global BioResearch,Open Label,2019,2021,18,29,25,3,1,False,True,1.39,8.3,86.2,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0282,Phase 1,Breast Cancer,Apex Oncology Labs,Open Label,2018,2019,16,29,26,2,1,False,True,1.62,13.0,89.7,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0283,Phase 2,Lymphoma,OncoPharm Therapeutics,Open Label,2022,2025,32,79,76,4,1,True,True,2.38,19.0,96.2,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0284,Phase 2,Melanoma,NovaCure Biotech,Single Blind,2023,2025,27,73,63,2,1,False,True,2.33,31.5,86.3,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0285,Phase 1,Lymphoma,Global BioResearch,Open Label,2020,2022,18,29,26,2,1,False,True,1.44,13.0,89.7,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0286,Phase 2,Lymphoma,Apex Oncology Labs,Single Blind,2020,2022,25,60,59,2,1,True,False,2.36,29.5,98.3,True,False,medium (50-150),medium(18-36mo),False,Met Target
