nct_id,title,cancer_type,sponsor,phase,status,enrollment,start_date,completion_date,duration_months,blinding,allocation,intervention_model,number_of_sites,regions,dropout_rate_percent,sae_per_100_patients,primary_endpoint_met,start_year,completion_year,enrollment_category,complexity_score,region_count,enrollment_per_site,enrollment_rate,expected_duration,completed_on_time,trial_success,estimated_cost_millions,cost_per_patient_thousands
NCT2018000264,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Pfizer,Phase 2,Completed,73,2021-11-11,2024-06-28,32,Double Blind,Non-Randomized,Single Group Assignment,6,South America,0.8,9.9,True,2021,2024,Small (30-100),2,1,12.2,2.28,29.0,False,False,9.82,134.5
NCT2018000265,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Mayo Clinic,Phase 3,Completed,478,2018-06-24,2023-02-28,57,Double Blind,Non-Randomized,Single Group Assignment,25,"Asia, Australia, North America, South America",23.9,7.9,True,2018,2023,Large (300-500),4,4,19.1,8.39,48.0,False,False,72.68,152.1
NCT2018000266,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Bristol-Myers Squibb,Phase 2,Completed,145,2017-11-11,2020-02-29,28,Double Blind,Randomized,Parallel Assignment,6,"Asia, Australia",25.7,9.7,True,2017,2020,Medium (100-300),6,2,24.2,5.18,29.0,True,True,8.84,61.0
NCT2018000267,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Sanofi,Phase 2,Completed,144,2015-11-19,2019-02-01,39,Double Blind,Non-Randomized,Parallel Assignment,5,"South America, Asia",8.8,4.9,True,2015,2019,Medium (100-300),4,2,28.8,3.69,29.0,False,False,10.18,70.7
NCT2018000268,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Roche,Phase 4,Completed,268,2018-06-14,2020-10-31,29,Quadruple Blind,Single Group,Factorial Assignment,14,"Europe, North America",23.5,12.1,True,2018,2020,Medium (100-300),9,2,19.1,9.24,34.0,True,True,21.1,78.7
NCT2018000269,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,AstraZeneca,Phase 3,Completed,520,2015-01-15,2019-11-20,59,Open Label,Non-Randomized,Parallel Assignment,68,North America,27.5,9.0,True,2015,2019,Very Large (500+),1,1,7.6,8.81,48.0,False,False,202.16,388.8
NCT2018000270,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Johnson & Johnson,Phase 2,Completed,64,2021-08-13,2022-09-07,13,Open Label,Randomized,Single Group Assignment,2,"Australia, Europe, North America, Asia",5.4,6.5,True,2021,2022,Small (30-100),4,4,32.0,4.92,29.0,True,True,1.49,23.3
NCT2018000271,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,AstraZeneca,Phase 1,Completed,10,2019-03-04,2020-09-24,19,Single Blind,Randomized,Parallel Assignment,1,Asia,22.9,1.7,True,2019,2020,Very Small (<30),4,1,10.0,0.53,18.0,False,False,0.98,98.0
NCT2018000272,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,AstraZeneca,Phase 2,Completed,69,2021-11-05,2024-12-19,38,Single Blind,Single Group,Parallel Assignment,5,South America,8.8,7.1,True,2021,2024,Small (30-100),2,1,13.8,1.82,29.0,False,False,9.71,140.7
NCT2018000273,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Merck,Phase 1,Completed,31,2015-10-17,2016-08-12,10,Open Label,Randomized,Single Group Assignment,1,"Asia, North America",17.1,9.6,True,2015,2016,Small (30-100),3,2,31.0,3.1,18.0,True,True,0.59,19.0
NCT2018000274,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,MD Anderson,Phase 1,Completed,27,2015-01-23,2016-04-17,15,Open Label,Randomized,Parallel Assignment,2,"Europe, Australia",35.8,17.2,True,2015,2016,Very Small (<30),4,2,13.5,1.8,18.0,True,True,1.58,58.5
NCT2018000275,A Study of Novel Therapy in Patients With Melanoma,Melanoma,Johnson & Johnson,Phase 3,Completed,813,2016-11-17,2019-11-02,36,Open Label,Non-Randomized,Parallel Assignment,73,"Australia, North America, Europe, South America",34.4,6.6,False,2016,2019,Very Large (500+),3,4,11.1,22.58,48.0,True,False,133.84,164.6
NCT2018000276,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Merck,Phase 2,Completed,67,2019-09-07,2023-01-19,41,Single Blind,Randomized,Parallel Assignment,10,"Europe, South America",17.9,6.4,True,2019,2023,Small (30-100),5,2,6.7,1.63,29.0,False,False,20.7,309.0
NCT2018000277,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Novartis,Phase 1,Completed,26,2016-10-22,2017-10-17,12,Single Blind,Single Group,Crossover Assignment,1,"North America, Asia, South America",44.3,4.1,True,2016,2017,Very Small (<30),6,3,26.0,2.17,18.0,True,True,0.68,26.2
NCT2018000278,A Study of Novel Therapy in Patients With Melanoma,Melanoma,Bristol-Myers Squibb,Early Phase 1,Completed,27,2022-01-04,2023-07-28,19,Triple Blind,Single Group,Sequential Assignment,2,"Asia, South America, Australia",29.3,10.2,True,2022,2023,Very Small (<30),7,3,13.5,1.42,19.0,True,True,1.98,73.3
NCT2018000279,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Pfizer,Phase 4,Completed,153,2017-11-21,2022-04-29,54,Open Label,Randomized,Parallel Assignment,6,"North America, Asia, Europe, Australia",4.2,19.1,True,2017,2022,Medium (100-300),5,4,25.5,2.83,34.0,False,False,16.66,108.9
NCT2018000280,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Bristol-Myers Squibb,Phase 2,Completed,103,2021-12-28,2024-07-15,31,Single Blind,Randomized,Sequential Assignment,4,North America,12.7,7.5,False,2021,2024,Medium (100-300),5,1,25.8,3.32,29.0,False,False,6.51,63.2
NCT2018000281,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Johnson & Johnson,Phase 3,Completed,332,2022-10-22,2023-04-20,6,Single Blind,Non-Randomized,Crossover Assignment,29,Europe,21.3,2.9,True,2022,2023,Large (300-500),4,1,11.4,55.33,48.0,True,True,9.7,29.2
NCT2018000282,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Sanofi,Phase 2,Completed,81,2015-02-09,2018-09-21,44,Double Blind,Randomized,Sequential Assignment,10,"Australia, Europe, Asia",19.9,17.0,False,2015,2018,Small (30-100),8,3,8.1,1.84,29.0,False,False,22.24,274.6
NCT2018000283,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Mayo Clinic,Phase 2,Completed,96,2016-07-22,2019-10-05,39,Double Blind,Randomized,Single Group Assignment,8,Australia,35.0,3.8,False,2016,2019,Small (30-100),4,1,12.0,2.46,29.0,False,False,15.89,165.5
NCT2018000284,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,MD Anderson,Phase 3,Completed,221,2017-09-28,2023-08-28,72,Single Blind,Randomized,Parallel Assignment,25,"Asia, Australia",7.3,5.8,True,2017,2023,Medium (100-300),5,2,8.8,3.07,48.0,False,False,90.66,410.2
NCT2018000285,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Johnson & Johnson,Phase 1,Completed,23,2021-04-03,2021-10-30,7,Single Blind,Non-Randomized,Parallel Assignment,2,"North America, South America",20.6,3.4,True,2021,2021,Very Small (<30),3,2,11.5,3.29,18.0,True,True,0.77,33.5
NCT2018000286,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Johnson & Johnson,Phase 1,Completed,49,2015-09-18,2017-07-09,22,Open Label,Randomized,Single Group Assignment,3,"Australia, Europe",19.1,2.8,True,2015,2017,Small (30-100),3,2,16.3,2.23,18.0,False,False,3.45,70.4
NCT2018000287,A Study of Novel Therapy in Patients With Leukemia,Leukemia,AstraZeneca,Phase 2,Completed,144,2015-04-28,2017-11-13,31,Single Blind,Randomized,Single Group Assignment,9,"Asia, South America, North America",32.1,12.8,True,2015,2017,Medium (100-300),5,3,16.0,4.65,29.0,False,False,14.38,99.9
NCT2018000288,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,AstraZeneca,Phase 3,Completed,415,2020-11-26,2026-09-26,71,Open Label,Randomized,Single Group Assignment,11,"South America, Europe, Asia, Australia",10.9,10.4,True,2020,2026,Large (300-500),4,4,37.7,5.85,48.0,False,False,40.3,97.1
NCT2018000289,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Novartis,Phase 3,Completed,407,2021-04-15,2026-01-19,58,Triple Blind,Randomized,Parallel Assignment,23,Australia,40.1,4.5,True,2021,2026,Large (300-500),6,1,17.7,7.02,48.0,False,False,67.92,166.9
NCT2018000290,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,MD Anderson,Phase 4,Completed,191,2017-08-01,2018-11-24,16,Double Blind,Randomized,Sequential Assignment,9,"Europe, Australia, Asia, North America",9.9,8.5,True,2017,2018,Medium (100-300),8,4,21.2,11.94,34.0,True,True,7.77,40.7
NCT2018000291,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,AstraZeneca,Phase 3,Completed,434,2021-07-20,2025-03-01,44,Quadruple Blind,Non-Randomized,Parallel Assignment,20,"South America, Europe, North America, Australia, Asia",12.6,7.1,False,2021,2025,Large (300-500),7,5,21.7,9.86,48.0,True,False,45.3,104.4
NCT2018000292,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Mayo Clinic,Phase 2,Completed,55,2018-04-07,2020-11-22,32,Double Blind,Randomized,Parallel Assignment,4,"Europe, Asia, South America, North America, Australia",17.5,4.1,True,2018,2020,Small (30-100),7,5,13.8,1.72,29.0,False,False,6.56,119.3
NCT2018000293,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Mayo Clinic,Phase 2,Completed,49,2021-11-24,2024-02-12,27,Triple Blind,Randomized,Sequential Assignment,2,"Australia, North America, South America",3.4,9.4,True,2021,2024,Small (30-100),9,3,24.5,1.81,29.0,True,True,2.85,58.2
NCT2018000294,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Merck,Phase 1,Completed,16,2019-03-10,2021-08-26,30,Double Blind,Randomized,Parallel Assignment,2,Australia,3.9,7.2,True,2019,2021,Very Small (<30),5,1,8.0,0.53,18.0,False,False,3.05,190.6
NCT2018000295,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,National Cancer Institute,Phase 3,Completed,346,2018-12-21,2025-07-17,80,Double Blind,Randomized,Crossover Assignment,19,"North America, South America, Europe",4.8,7.4,True,2018,2025,Large (300-500),9,3,18.2,4.32,48.0,False,False,77.04,222.7
NCT2018000296,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,AstraZeneca,Phase 3,Completed,335,2015-01-24,2019-08-31,56,Open Label,Non-Randomized,Crossover Assignment,24,"Asia, Europe, Australia",3.6,10.6,False,2015,2019,Large (300-500),5,3,14.0,5.98,48.0,False,False,68.2,203.6
NCT2018000297,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,MD Anderson,Phase 2,Completed,73,2016-03-06,2019-01-20,35,Double Blind,Randomized,Parallel Assignment,6,"Europe, Australia",10.3,8.5,True,2016,2019,Small (30-100),6,2,12.2,2.09,29.0,False,False,10.72,146.8
NCT2018000298,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Sanofi,Phase 2,Completed,172,2017-01-05,2019-04-25,28,Quadruple Blind,Randomized,Crossover Assignment,6,"Australia, Asia",37.6,22.1,True,2017,2019,Medium (100-300),10,2,28.7,6.14,29.0,True,True,8.92,51.9
NCT2018000299,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Merck,Phase 3,Completed,453,2017-09-03,2022-05-10,57,Triple Blind,Randomized,Single Group Assignment,22,Europe,23.1,14.2,False,2017,2022,Large (300-500),5,1,20.6,7.95,48.0,False,False,64.06,141.4
NCT2018000300,A Study of Novel Therapy in Patients With Leukemia,Leukemia,AstraZeneca,Phase 3,Completed,329,2019-04-25,2023-07-03,51,Double Blind,Randomized,Single Group Assignment,30,Asia,13.5,6.9,True,2019,2023,Large (300-500),4,1,11.0,6.45,48.0,False,False,77.49,235.5
NCT2018000301,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,National Cancer Institute,Phase 4,Completed,148,2018-01-22,2019-08-15,19,Triple Blind,Randomized,Crossover Assignment,3,"Australia, Asia",8.6,16.7,True,2018,2019,Medium (100-300),9,2,49.3,7.79,34.0,True,True,3.29,22.2
NCT2018000302,A Study of Novel Therapy in Patients With Leukemia,Leukemia,AbbVie,Phase 2,Completed,21,2022-08-02,2025-09-15,38,Open Label,Non-Randomized,Parallel Assignment,1,"Europe, North America, Asia, South America",5.2,8.4,True,2022,2025,Very Small (<30),3,4,21.0,0.55,29.0,False,False,1.96,93.3
NCT2018000303,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,MD Anderson,Phase 3,Completed,256,2021-02-07,2025-04-17,51,Double Blind,Non-Randomized,Factorial Assignment,23,"North America, Europe",15.3,14.0,True,2021,2025,Medium (100-300),7,2,11.1,5.02,48.0,False,False,59.42,232.1
NCT2018000304,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Novartis,Phase 3,Completed,642,2016-01-06,2020-01-15,49,Triple Blind,Randomized,Single Group Assignment,34,"South America, Australia, Europe, Asia",14.3,7.9,True,2016,2020,Very Large (500+),7,4,18.9,13.1,48.0,False,False,85.23,132.8
NCT2018000305,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Novartis,Phase 1,Completed,34,2015-11-24,2017-02-16,15,Double Blind,Non-Randomized,Single Group Assignment,3,"Asia, North America, Europe",5.6,9.7,False,2015,2017,Small (30-100),4,3,11.3,2.27,18.0,True,False,2.35,69.1
NCT2018000306,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Bristol-Myers Squibb,Phase 2,Completed,149,2022-07-13,2024-02-03,19,Triple Blind,Randomized,Parallel Assignment,5,South America,19.1,1.3,False,2022,2024,Medium (100-300),6,1,29.8,7.84,29.0,True,False,5.2,34.9
NCT2018000307,A Study of Novel Therapy in Patients With Melanoma,Melanoma,MD Anderson,Phase 3,Completed,447,2017-05-22,2022-02-25,58,Triple Blind,Single Group,Sequential Assignment,30,"North America, Europe",1.3,3.4,True,2017,2022,Large (300-500),6,2,14.9,7.71,48.0,False,False,88.34,197.6
NCT2018000308,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Johnson & Johnson,Phase 1,Completed,31,2016-05-07,2017-04-02,11,Double Blind,Single Group,Parallel Assignment,2,"Australia, Europe, North America, Asia",22.9,18.7,True,2016,2017,Small (30-100),5,4,15.5,2.82,18.0,True,True,1.19,38.4
NCT2018000309,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Novartis,Phase 3,Completed,252,2017-11-26,2021-04-09,41,Double Blind,Randomized,Crossover Assignment,27,"Australia, North America",8.8,23.4,True,2017,2021,Medium (100-300),8,2,9.3,6.15,48.0,True,True,56.11,222.7
NCT2018000310,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Merck,Phase 1,Completed,25,2022-06-12,2023-07-07,13,Open Label,Non-Randomized,Parallel Assignment,3,Europe,8.1,13.3,True,2022,2023,Very Small (<30),1,1,8.3,1.92,18.0,True,True,2.02,80.8
NCT2018000311,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,MD Anderson,Phase 2,Completed,39,2019-12-19,2023-03-03,39,Open Label,Randomized,Crossover Assignment,2,Asia,16.7,12.3,True,2019,2023,Small (30-100),5,1,19.5,1.0,29.0,False,False,4.02,103.1
NCT2018000312,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,MD Anderson,Phase 1,Completed,33,2021-05-27,2023-03-18,22,Single Blind,Non-Randomized,Parallel Assignment,2,"Asia, Australia",14.0,11.4,True,2021,2023,Small (30-100),3,2,16.5,1.5,18.0,False,False,2.3,69.7
NCT2018000313,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,National Cancer Institute,Phase 1,Completed,19,2016-05-28,2017-04-23,11,Triple Blind,Single Group,Parallel Assignment,3,"North America, Australia, South America, Asia",18.7,8.3,False,2016,2017,Very Small (<30),6,4,6.3,1.73,18.0,True,False,1.71,90.0
NCT2018000314,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Merck,Phase 2,Completed,126,2015-09-09,2018-06-25,34,Double Blind,Single Group,Parallel Assignment,4,"Europe, Asia",13.4,7.9,True,2015,2018,Medium (100-300),4,2,31.5,3.71,29.0,False,False,7.18,57.0
NCT2018000315,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Johnson & Johnson,Phase 2,Completed,39,2020-09-01,2022-10-21,26,Double Blind,Non-Randomized,Crossover Assignment,3,"Australia, Europe, South America",24.9,8.4,True,2020,2022,Small (30-100),7,3,13.0,1.5,29.0,True,True,4.02,103.1
NCT2018000316,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,MD Anderson,Phase 2,Completed,73,2017-12-24,2020-03-13,27,Single Blind,Randomized,Parallel Assignment,9,Asia,39.5,17.6,True,2017,2020,Small (30-100),4,1,8.1,2.7,29.0,True,True,12.37,169.5
NCT2018000317,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,AbbVie,Phase 1,Completed,20,2020-07-16,2021-07-11,12,Quadruple Blind,Single Group,Parallel Assignment,3,"Australia, Asia",29.2,13.6,False,2020,2021,Very Small (<30),6,2,6.7,1.67,18.0,True,False,1.86,93.0
NCT2018000318,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,National Cancer Institute,Phase 2,Completed,45,2017-07-21,2020-01-07,30,Single Blind,Randomized,Sequential Assignment,1,"South America, Europe",15.8,2.3,True,2017,2020,Small (30-100),6,2,45.0,1.5,29.0,False,False,1.64,36.4
NCT2018000319,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Sanofi,Phase 2,Completed,74,2022-10-01,2026-06-12,45,Double Blind,Randomized,Parallel Assignment,3,"Asia, Europe",21.7,7.4,True,2022,2026,Small (30-100),6,2,24.7,1.64,29.0,False,False,6.97,94.2
NCT2018000320,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Mayo Clinic,Phase 1,Completed,19,2016-11-08,2018-12-28,26,Single Blind,Randomized,Parallel Assignment,3,"Europe, Australia",35.1,2.4,True,2016,2018,Very Small (<30),5,2,6.3,0.73,18.0,False,False,3.96,208.4
NCT2018000321,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Pfizer,Phase 2,Completed,61,2017-10-19,2019-06-11,20,Open Label,Non-Randomized,Parallel Assignment,4,Asia,22.2,6.9,False,2017,2019,Small (30-100),1,1,15.2,3.05,29.0,True,False,4.18,68.5
NCT2018000322,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,National Cancer Institute,Phase 2,Completed,63,2015-12-24,2017-11-13,23,Double Blind,Randomized,Parallel Assignment,9,"South America, Australia",54.1,4.8,True,2015,2017,Small (30-100),6,2,7.0,2.74,29.0,True,True,10.54,167.3
NCT2018000323,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Roche,Phase 3,Completed,261,2017-10-22,2020-06-08,32,Double Blind,Randomized,Single Group Assignment,24,"North America, Europe",19.9,5.8,True,2017,2020,Medium (100-300),5,2,10.9,8.16,48.0,True,True,39.18,150.1
NCT2018000324,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Merck,Phase 1,Completed,22,2021-03-20,2023-05-09,26,Open Label,Randomized,Single Group Assignment,1,"Australia, North America, South America, Europe",27.5,2.9,True,2021,2023,Very Small (<30),4,4,22.0,0.85,18.0,False,False,1.37,62.3
NCT2018000325,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Pfizer,Phase 4,Completed,110,2021-09-14,2023-09-04,24,Single Blind,Randomized,Single Group Assignment,5,"South America, Australia, Europe, North America",28.4,12.4,True,2021,2023,Medium (100-300),5,4,22.0,4.58,34.0,True,True,6.33,57.5
NCT2018000326,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Novartis,Phase 2,Completed,113,2019-10-18,2023-07-29,46,Single Blind,Randomized,Single Group Assignment,2,"North America, Australia",28.3,8.1,True,2019,2023,Medium (100-300),4,2,56.5,2.46,29.0,False,False,4.94,43.7
NCT2018000327,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Johnson & Johnson,Phase 1,Completed,30,2020-02-05,2021-06-29,17,Single Blind,Randomized,Parallel Assignment,3,"Asia, Australia",34.6,8.2,False,2020,2021,Small (30-100),5,2,10.0,1.76,18.0,True,False,2.64,88.0
NCT2018000328,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Johnson & Johnson,Phase 2,Completed,93,2022-03-12,2024-11-26,33,Double Blind,Randomized,Factorial Assignment,7,"South America, Europe, Asia",22.8,1.7,True,2022,2024,Small (30-100),10,3,13.3,2.82,29.0,False,False,11.83,127.2
NCT2018000329,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Roche,Phase 1,Completed,42,2016-04-17,2018-06-06,26,Single Blind,Randomized,Single Group Assignment,3,"North America, Europe, South America",4.8,10.4,False,2016,2018,Small (30-100),5,3,14.0,1.62,18.0,False,False,4.03,96.0
NCT2018000330,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Roche,Phase 1,Completed,22,2022-10-14,2023-11-08,13,Open Label,Randomized,Parallel Assignment,3,South America,9.4,4.5,False,2022,2023,Very Small (<30),3,1,7.3,1.69,18.0,True,False,2.02,91.8
NCT2018000331,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,AbbVie,Phase 2,Completed,76,2019-12-20,2022-08-06,32,Open Label,Non-Randomized,Parallel Assignment,9,"Europe, Asia",21.0,11.8,True,2019,2022,Small (30-100),2,2,8.4,2.38,29.0,False,False,14.63,192.5
NCT2018000332,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,AbbVie,Phase 3,Completed,214,2018-10-06,2022-11-14,50,Double Blind,Randomized,Single Group Assignment,15,Asia,34.0,7.8,False,2018,2022,Medium (100-300),4,1,14.3,4.28,48.0,False,False,38.14,178.2
NCT2018000333,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Johnson & Johnson,Phase 2,Completed,68,2018-09-01,2019-12-25,16,Double Blind,Randomized,Parallel Assignment,6,"Australia, Asia, Europe",17.5,2.3,False,2018,2019,Small (30-100),7,3,11.3,4.25,29.0,True,False,5.0,73.5
NCT2018000334,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Merck,Phase 2,Completed,127,2022-07-19,2023-08-13,13,Open Label,Randomized,Single Group Assignment,10,Asia,2.8,15.2,True,2022,2023,Medium (100-300),2,1,12.7,9.77,29.0,True,True,6.88,54.2
NCT2018000335,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Bristol-Myers Squibb,Phase 1,Completed,25,2019-12-15,2020-06-12,6,Quadruple Blind,Randomized,Crossover Assignment,2,"South America, Australia, Asia, North America, Europe",21.8,5.5,True,2019,2020,Very Small (<30),11,5,12.5,4.17,18.0,True,True,0.68,27.2
NCT2018000336,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Merck,Phase 1,Completed,39,2018-06-14,2019-07-09,13,Quadruple Blind,Randomized,Parallel Assignment,2,North America,9.9,10.7,True,2018,2019,Small (30-100),7,1,19.5,3.0,18.0,True,True,1.42,36.4
NCT2018000337,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Novartis,Phase 3,Completed,350,2017-08-11,2020-09-24,38,Single Blind,Single Group,Parallel Assignment,16,"Europe, Australia",10.0,2.5,False,2017,2020,Large (300-500),3,2,21.9,9.21,48.0,True,False,31.45,89.9
NCT2018000338,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Merck,Phase 4,Completed,94,2018-04-27,2020-07-15,27,Double Blind,Randomized,Parallel Assignment,3,"South America, North America, Asia",31.3,10.6,False,2018,2020,Small (30-100),7,3,31.3,3.48,34.0,True,False,4.33,46.1
NCT2018000339,A Study of Novel Therapy in Patients With Leukemia,Leukemia,National Cancer Institute,Phase 3,Completed,365,2020-08-19,2023-07-05,35,Triple Blind,Randomized,Factorial Assignment,26,Europe,9.0,17.4,False,2020,2023,Large (300-500),9,1,14.0,10.43,48.0,True,False,46.6,127.7
NCT2018000340,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Johnson & Johnson,Phase 1,Completed,29,2022-09-02,2023-11-26,15,Double Blind,Randomized,Single Group Assignment,1,"North America, South America",34.1,3.7,True,2022,2023,Very Small (<30),5,2,29.0,1.93,18.0,True,True,0.84,29.0
NCT2018000341,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Merck,Phase 1,Completed,20,2021-10-04,2023-01-27,16,Single Blind,Non-Randomized,Parallel Assignment,3,Asia,23.7,4.5,True,2021,2023,Very Small (<30),2,1,6.7,1.25,18.0,True,True,2.46,123.0
NCT2018000342,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Roche,Phase 3,Completed,211,2022-07-07,2026-07-16,49,Single Blind,Non-Randomized,Parallel Assignment,22,Europe,7.7,5.7,False,2022,2026,Medium (100-300),2,1,9.6,4.31,48.0,False,False,54.53,258.4
NCT2018000343,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Merck,Early Phase 1,Completed,35,2016-12-09,2019-05-28,30,Triple Blind,Randomized,Sequential Assignment,1,Europe,8.8,3.9,True,2016,2019,Small (30-100),7,1,35.0,1.17,19.0,False,False,1.6,45.7
NCT2018000344,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Sanofi,Phase 1,Completed,30,2017-11-17,2019-11-07,24,Double Blind,Randomized,Parallel Assignment,2,"Australia, North America",20.9,8.9,True,2017,2019,Small (30-100),6,2,15.0,1.25,18.0,False,False,2.49,83.0
NCT2018000345,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Merck,Phase 3,Completed,265,2019-08-27,2023-01-08,41,Double Blind,Randomized,Parallel Assignment,21,"Australia, Asia",6.6,9.4,True,2019,2023,Medium (100-300),6,2,12.6,6.46,48.0,True,True,43.84,165.4
NCT2018000346,A Study of Novel Therapy in Patients With Leukemia,Leukemia,MD Anderson,Phase 2,Completed,42,2018-10-19,2021-03-07,29,Double Blind,Randomized,Factorial Assignment,2,"Australia, South America",6.5,16.6,False,2018,2021,Small (30-100),9,2,21.0,1.45,29.0,True,False,3.03,72.1
NCT2018000347,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Johnson & Johnson,Phase 2,Completed,111,2019-08-21,2023-07-01,47,Quadruple Blind,Single Group,Single Group Assignment,7,"Australia, South America",20.0,17.6,False,2019,2023,Medium (100-300),5,2,15.9,2.36,29.0,False,False,16.78,151.2
NCT2018000348,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,AstraZeneca,Phase 1,Completed,18,2018-06-11,2020-02-01,20,Double Blind,Non-Randomized,Single Group Assignment,2,South America,18.8,7.9,False,2018,2020,Very Small (<30),2,1,9.0,0.9,18.0,False,False,2.05,113.9
NCT2018000349,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,National Cancer Institute,Phase 4,Completed,196,2022-07-06,2025-06-20,36,Open Label,Randomized,Single Group Assignment,6,"North America, Europe, Australia, South America",50.4,5.0,True,2022,2025,Medium (100-300),4,4,32.7,5.44,34.0,False,False,11.39,58.1
