trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met
TRIAL-0208,Phase 2,Melanoma,NovaCure Biotech,Open Label,2020-08-03,2021-05-30,10,81,68,8,2,False,False
TRIAL-0209,Phase 1,Lymphoma,NovaCure Biotech,Open Label,2022-03-11,2023-03-06,12,23,13,2,1,False,False
TRIAL-0210,Phase 2,Leukemia,NovaCure Biotech,Open Label,2018-06-08,2021-02-22,33,54,52,4,1,True,True
TRIAL-0211,Phase 2,Prostate Cancer,Global BioResearch,Open Label,2022-07-08,2024-08-26,26,117,76,4,2,False,False
TRIAL-0212,Phase 4,Leukemia,Helix Therapeutics,Double Blind,2021-09-15,2025-05-27,45,233,201,11,3,False,True
TRIAL-0213,Phase 2,Breast Cancer,OncoPharm Therapeutics,Double Blind,2021-04-07,2023-02-26,23,81,34,3,1,False,True
TRIAL-0214,Phase 1,Melanoma,NovaCure Biotech,Open Label,2023-08-10,2025-10-28,27,15,11,3,1,False,True
TRIAL-0215,Phase 3,Lymphoma,Global BioResearch,Triple Blind,2020-01-13,2025-04-16,64,422,368,16,3,False,True
TRIAL-0216,Phase 2,Leukemia,Helix Therapeutics,Open Label,2022-05-27,2025-06-10,37,97,64,5,1,False,False
TRIAL-0217,Phase 3,Lung Cancer,Global BioResearch,Triple Blind,2020-09-12,2025-09-16,61,438,282,17,2,False,False
TRIAL-0218,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2019-12-11,2021-10-01,22,26,15,1,1,False,False
TRIAL-0219,Phase 2,Colorectal Cancer,Helix Therapeutics,Double Blind,2020-10-11,2024-06-22,45,83,76,3,1,True,True
TRIAL-0220,Phase 4,Melanoma,Helix Therapeutics,Single Blind,2021-12-19,2025-11-28,48,125,108,8,1,False,True
TRIAL-0221,Phase 3,Leukemia,Apex Oncology Labs,Double Blind,2023-12-21,2028-02-28,51,562,283,18,2,False,True
TRIAL-0222,Phase 2,Prostate Cancer,Clinical Research Group A,Open Label,2023-12-20,2026-11-04,35,99,85,5,1,False,False
TRIAL-0223,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Double Blind,2018-08-11,2020-03-03,19,133,110,7,1,False,True
TRIAL-0224,Phase 2,Prostate Cancer,NovaCure Biotech,Double Blind,2023-12-02,2025-10-22,23,78,55,6,2,False,False
TRIAL-0225,Phase 2,Leukemia,Clinical Research Group A,Single Blind,2019-08-18,2021-02-08,18,121,96,5,1,False,True
TRIAL-0226,Phase 2,Melanoma,Helix Therapeutics,Single Blind,2020-09-10,2022-12-29,28,62,32,1,1,False,True
TRIAL-0227,Phase 4,Melanoma,MedTrials International,Open Label,2023-12-16,2028-02-23,51,159,82,3,1,False,True
TRIAL-0228,Phase 2,Melanoma,Apex Oncology Labs,Open Label,2021-06-25,2023-05-16,23,90,84,7,1,True,False
TRIAL-0229,Phase 2,Melanoma,Clinical Research Group A,Open Label,2023-05-24,2025-03-14,22,57,35,2,1,False,True
TRIAL-0230,Phase 1,Melanoma,Helix Therapeutics,Open Label,2018-10-24,2019-10-19,12,32,19,1,1,False,True
TRIAL-0231,Phase 1,Prostate Cancer,Clinical Research Group A,Open Label,2021-06-23,2022-07-18,13,21,14,1,1,False,True
TRIAL-0232,Phase 3,Colorectal Cancer,OncoPharm Therapeutics,Triple Blind,2021-08-21,2025-10-29,51,239,226,10,1,True,True
TRIAL-0233,Phase 4,Leukemia,Apex Oncology Labs,Double Blind,2022-04-18,2024-11-03,31,199,124,8,1,False,False
TRIAL-0234,Phase 3,Breast Cancer,Global BioResearch,Double Blind,2018-07-26,2021-04-11,33,516,361,10,2,False,True
TRIAL-0235,Phase 4,Melanoma,OncoPharm Therapeutics,Open Label,2020-05-15,2023-01-30,33,178,72,6,2,False,False
TRIAL-0236,Phase 2,Pancreatic Cancer,Global BioResearch,Double Blind,2018-06-06,2019-01-02,7,105,94,5,1,False,False
TRIAL-0237,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2023-04-06,2025-11-21,32,101,85,8,1,False,True
TRIAL-0238,Phase 2,Lymphoma,MedTrials International,Single Blind,2023-02-06,2025-07-25,30,101,65,4,1,False,False
TRIAL-0239,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2021-05-11,2023-03-02,22,76,70,3,1,True,True
TRIAL-0240,Phase 3,Breast Cancer,Apex Oncology Labs,Double Blind,2018-08-10,2022-10-18,51,393,294,12,1,False,True
TRIAL-0241,Phase 3,Melanoma,Clinical Research Group A,Double Blind,2019-04-05,2021-08-22,29,337,283,14,2,False,True
TRIAL-0242,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2023-04-25,2025-06-13,26,127,59,5,2,False,True
TRIAL-0243,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2022-02-02,2026-11-08,58,498,431,38,1,False,False
TRIAL-0244,Phase 4,Prostate Cancer,Helix Therapeutics,Double Blind,2022-08-04,2026-03-16,44,245,186,10,1,False,True
TRIAL-0245,Phase 3,Pancreatic Cancer,OncoPharm Therapeutics,Triple Blind,2021-03-17,2024-03-01,36,320,285,19,3,False,True
TRIAL-0246,Phase 2,Pancreatic Cancer,Clinical Research Group A,Double Blind,2018-07-09,2019-12-31,18,99,20,3,1,False,False
TRIAL-0247,Phase 3,Lung Cancer,OncoPharm Therapeutics,Double Blind,2018-02-16,2021-03-02,37,395,358,7,1,True,True
TRIAL-0248,Phase 2,Colorectal Cancer,MedTrials International,Double Blind,2023-07-12,2026-07-26,37,31,22,3,1,False,False
TRIAL-0249,Phase 2,Lymphoma,NovaCure Biotech,Open Label,2019-11-28,2022-02-15,27,66,41,7,2,False,True
TRIAL-0250,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2018-01-10,2019-03-06,14,39,26,1,1,False,True
TRIAL-0251,Phase 3,Lymphoma,Helix Therapeutics,Double Blind,2020-03-09,2023-11-19,45,416,246,12,2,False,True
TRIAL-0252,Phase 3,Lung Cancer,OncoPharm Therapeutics,Triple Blind,2018-04-07,2021-05-21,38,409,335,18,2,False,True
TRIAL-0253,Phase 2,Pancreatic Cancer,Helix Therapeutics,Double Blind,2023-01-13,2025-01-02,24,138,118,8,1,False,True
TRIAL-0254,Phase 2,Breast Cancer,Global BioResearch,Double Blind,2023-10-11,2026-05-28,32,86,73,4,1,False,True
TRIAL-0255,Phase 3,Leukemia,Global BioResearch,Double Blind,2022-04-14,2026-10-20,55,531,366,9,2,False,True
TRIAL-0256,Phase 1,Colorectal Cancer,Clinical Research Group A,Open Label,2021-01-12,2023-02-01,25,42,28,3,1,False,False
TRIAL-0257,Phase 3,Leukemia,Clinical Research Group A,Double Blind,2019-09-16,2024-02-22,54,579,415,24,2,False,True
TRIAL-0258,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2022-07-14,2024-03-05,20,27,23,1,1,False,True
TRIAL-0259,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2018-08-28,2019-07-24,11,31,23,3,1,False,True
TRIAL-0260,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2018-02-07,2020-11-23,34,127,92,7,2,False,False
TRIAL-0261,Phase 2,Prostate Cancer,NovaCure Biotech,Open Label,2018-04-07,2019-10-29,19,75,62,4,1,False,False
TRIAL-0262,Phase 1,Pancreatic Cancer,Global BioResearch,Open Label,2019-07-08,2020-11-29,17,35,26,3,1,False,True
TRIAL-0263,Phase 3,Lymphoma,NovaCure Biotech,Double Blind,2020-09-16,2025-01-23,53,391,283,16,2,False,True
TRIAL-0264,Phase 3,Pancreatic Cancer,MedTrials International,Triple Blind,2021-01-19,2026-09-20,69,472,363,11,2,False,False
TRIAL-0265,Phase 3,Breast Cancer,Apex Oncology Labs,Double Blind,2019-06-08,2023-01-18,44,462,293,18,2,False,True
TRIAL-0266,Phase 3,Pancreatic Cancer,Helix Therapeutics,Double Blind,2021-12-21,2027-02-23,63,398,358,15,2,False,False
TRIAL-0267,Phase 2,Leukemia,Global BioResearch,Open Label,2022-11-02,2024-09-22,23,87,80,6,1,True,True
TRIAL-0268,Phase 3,Lung Cancer,MedTrials International,Double Blind,2023-04-03,2025-09-19,30,288,158,5,1,False,False
TRIAL-0269,Phase 1,Pancreatic Cancer,Apex Oncology Labs,Open Label,2023-10-16,2024-11-09,13,18,14,3,1,False,True
TRIAL-0270,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2020-09-10,2022-10-30,26,15,11,3,1,False,True
TRIAL-0271,Phase 3,Lymphoma,MedTrials International,Triple Blind,2018-09-05,2024-10-03,74,324,285,10,1,False,True
TRIAL-0272,Phase 2,Melanoma,MedTrials International,Single Blind,2020-07-15,2023-11-27,41,91,76,8,1,False,True
TRIAL-0273,Phase 4,Prostate Cancer,Apex Oncology Labs,Double Blind,2023-01-03,2026-11-13,47,257,137,8,1,False,True
TRIAL-0274,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2021-07-21,2023-07-11,24,80,57,7,1,False,False
TRIAL-0275,Phase 2,Lung Cancer,Helix Therapeutics,Double Blind,2019-12-19,2022-05-07,29,73,49,3,1,False,True
TRIAL-0276,Phase 1,Lung Cancer,Clinical Research Group A,Single Blind,2022-11-02,2024-09-22,23,35,32,3,1,True,True
TRIAL-0277,Phase 3,Breast Cancer,Global BioResearch,Double Blind,2020-03-19,2022-10-05,31,369,359,17,3,True,True
TRIAL-0278,Phase 3,Lymphoma,Clinical Research Group A,Triple Blind,2023-03-26,2028-02-28,60,282,157,15,2,False,False
TRIAL-0279,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2020-10-25,2023-08-11,34,380,241,12,3,False,False
TRIAL-0280,Phase 2,Leukemia,OncoPharm Therapeutics,Double Blind,2021-04-12,2024-02-26,35,98,79,8,2,False,True
TRIAL-0281,Phase 2,Colorectal Cancer,Clinical Research Group A,Double Blind,2022-05-26,2024-11-11,30,123,110,5,1,False,True
TRIAL-0282,Phase 1,Melanoma,Global BioResearch,Open Label,2019-12-13,2021-01-06,13,31,24,3,1,False,True
TRIAL-0283,Phase 1,Breast Cancer,Apex Oncology Labs,Open Label,2018-03-03,2019-05-27,15,20,10,2,1,False,True
TRIAL-0284,Phase 2,Lymphoma,OncoPharm Therapeutics,Open Label,2022-10-26,2025-03-14,29,99,88,4,1,False,True
TRIAL-0285,Phase 2,Melanoma,NovaCure Biotech,Single Blind,2023-09-08,2026-07-24,35,102,79,2,1,False,True
TRIAL-0286,Phase 1,Lymphoma,Global BioResearch,Open Label,2020-08-05,2022-01-27,18,20,10,2,1,False,True
TRIAL-0287,Phase 2,Lymphoma,Apex Oncology Labs,Single Blind,2020-05-08,2023-01-23,33,110,77,2,1,False,False
TRIAL-0288,Phase 2,Prostate Cancer,NovaCure Biotech,Open Label,2021-06-27,2023-11-14,29,86,72,4,1,False,True
TRIAL-0289,Phase 3,Leukemia,NovaCure Biotech,Double Blind,2022-12-07,2026-10-17,47,317,286,9,1,True,True
TRIAL-0290,Phase 1,Lymphoma,Apex Oncology Labs,Open Label,2023-08-19,2024-08-13,12,34,19,3,1,False,False
TRIAL-0291,Phase 2,Melanoma,MedTrials International,Double Blind,2022-04-19,2024-07-07,27,100,77,4,1,False,False
TRIAL-0292,Phase 1,Breast Cancer,Clinical Research Group A,Open Label,2019-08-26,2020-10-19,14,23,10,3,1,False,True
TRIAL-0293,Phase 3,Lymphoma,Clinical Research Group A,Double Blind,2023-03-23,2027-08-29,54,432,332,14,2,False,True
TRIAL-0294,Phase 2,Pancreatic Cancer,Helix Therapeutics,Single Blind,2023-07-18,2025-10-05,27,126,109,5,1,False,True
TRIAL-0295,Phase 4,Lung Cancer,OncoPharm Therapeutics,Double Blind,2022-01-19,2025-03-04,38,174,168,16,1,True,False
TRIAL-0296,Phase 3,Lymphoma,MedTrials International,Double Blind,2018-05-08,2022-01-17,45,587,423,42,1,False,False
TRIAL-0297,Phase 2,Prostate Cancer,NovaCure Biotech,Single Blind,2022-12-17,2024-12-06,24,114,57,5,2,False,True
TRIAL-0298,Phase 4,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2018-12-05,2022-06-17,43,179,116,2,1,False,True
TRIAL-0299,Phase 2,Prostate Cancer,Helix Therapeutics,Single Blind,2023-12-15,2026-05-03,29,161,94,5,1,False,True
TRIAL-0300,Phase 2,Lung Cancer,OncoPharm Therapeutics,Double Blind,2019-12-08,2023-02-20,39,97,59,7,1,False,True
TRIAL-0301,Phase 2,Leukemia,Helix Therapeutics,Single Blind,2021-11-06,2023-11-26,25,94,75,5,1,False,True
TRIAL-0302,Phase 3,Lymphoma,OncoPharm Therapeutics,Double Blind,2021-07-01,2026-01-06,55,457,396,11,2,False,False
TRIAL-0303,Phase 1,Lung Cancer,Helix Therapeutics,Open Label,2019-06-11,2020-02-06,8,31,26,3,1,False,True
TRIAL-0304,Phase 1,Pancreatic Cancer,Helix Therapeutics,Single Blind,2022-07-20,2024-05-10,22,15,11,2,1,False,True
TRIAL-0305,Phase 1,Leukemia,MedTrials International,Open Label,2023-12-26,2025-03-20,15,38,32,1,1,False,True
TRIAL-0306,Phase 2,Lung Cancer,Clinical Research Group A,Open Label,2019-05-04,2022-05-18,37,148,135,2,1,True,True
TRIAL-0307,Phase 3,Lymphoma,NovaCure Biotech,Double Blind,2021-11-18,2025-01-01,38,440,298,17,2,False,False
TRIAL-0308,Phase 2,Colorectal Cancer,Helix Therapeutics,Open Label,2020-08-20,2023-04-07,32,86,69,4,1,False,True
TRIAL-0309,Phase 2,Breast Cancer,NovaCure Biotech,Open Label,2022-09-21,2025-02-07,29,126,115,8,1,True,True
TRIAL-0310,Phase 3,Lymphoma,Clinical Research Group A,Triple Blind,2022-01-26,2026-09-02,56,451,290,20,1,False,False
TRIAL-0311,Phase 2,Melanoma,Global BioResearch,Double Blind,2021-10-24,2024-03-12,29,112,95,3,1,False,False
TRIAL-0312,Phase 2,Lung Cancer,Helix Therapeutics,Open Label,2020-09-27,2022-12-16,27,133,91,8,1,False,False
TRIAL-0313,Phase 3,Pancreatic Cancer,Helix Therapeutics,Double Blind,2023-04-10,2027-08-17,53,346,263,18,1,False,False
TRIAL-0314,Phase 1,Melanoma,Apex Oncology Labs,Single Blind,2021-02-25,2022-05-21,15,35,19,1,1,False,False
TRIAL-0315,Phase 1,Leukemia,MedTrials International,Open Label,2021-03-20,2022-07-13,16,33,32,3,1,True,True
TRIAL-0316,Phase 1,Prostate Cancer,MedTrials International,Open Label,2022-05-20,2024-03-10,22,19,10,2,1,False,True
TRIAL-0317,Phase 2,Melanoma,Apex Oncology Labs,Double Blind,2023-02-05,2025-01-25,24,96,67,8,1,False,False
TRIAL-0318,Phase 3,Breast Cancer,Apex Oncology Labs,Triple Blind,2019-04-05,2024-04-08,61,407,317,9,2,False,False
TRIAL-0319,Phase 3,Lymphoma,NovaCure Biotech,Double Blind,2021-08-03,2028-02-28,80,497,341,13,2,False,False
TRIAL-0320,Phase 3,Lung Cancer,NovaCure Biotech,Double Blind,2020-08-16,2024-09-24,50,334,119,4,2,False,True
TRIAL-0321,Phase 1,Lung Cancer,Clinical Research Group A,Single Blind,2020-02-26,2021-11-17,21,46,42,7,2,True,True
TRIAL-0322,Phase 1,Lymphoma,MedTrials International,Open Label,2020-05-11,2021-11-02,18,27,15,2,1,False,True
TRIAL-0323,Phase 1,Pancreatic Cancer,MedTrials International,Open Label,2018-01-04,2019-05-29,17,30,25,3,1,False,True
TRIAL-0324,Phase 3,Breast Cancer,OncoPharm Therapeutics,Triple Blind,2018-07-07,2020-05-27,23,338,259,10,1,False,False
TRIAL-0325,Phase 4,Melanoma,Global BioResearch,Double Blind,2020-05-03,2023-04-18,36,109,89,4,1,False,True
TRIAL-0326,Phase 4,Colorectal Cancer,OncoPharm Therapeutics,Single Blind,2019-07-21,2024-09-22,63,181,104,4,2,False,True
TRIAL-0327,Phase 1,Prostate Cancer,NovaCure Biotech,Open Label,2019-09-22,2021-04-14,19,28,24,3,1,False,True
TRIAL-0328,Phase 1,Leukemia,MedTrials International,Open Label,2023-03-16,2024-05-09,14,40,31,2,1,False,True
TRIAL-0329,Phase 2,Lung Cancer,OncoPharm Therapeutics,Single Blind,2019-07-25,2022-11-06,40,45,18,2,1,False,False
TRIAL-0330,Phase 3,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2019-08-12,2022-11-24,40,351,255,5,2,False,False
TRIAL-0331,Phase 2,Colorectal Cancer,NovaCure Biotech,Double Blind,2018-02-05,2020-02-25,25,91,72,5,2,False,False
TRIAL-0332,Phase 2,Lymphoma,Apex Oncology Labs,Double Blind,2019-05-21,2021-07-09,26,96,63,4,2,False,True
TRIAL-0333,Phase 2,Melanoma,MedTrials International,Double Blind,2023-05-07,2026-02-20,34,67,54,2,1,False,True
TRIAL-0334,Phase 2,Lymphoma,Apex Oncology Labs,Double Blind,2019-08-13,2021-06-03,22,81,61,8,2,False,True
TRIAL-0335,Phase 2,Lung Cancer,Helix Therapeutics,Double Blind,2020-06-05,2022-05-26,24,99,34,1,1,False,True
TRIAL-0336,Phase 3,Lymphoma,Apex Oncology Labs,Double Blind,2018-01-19,2023-03-24,63,415,198,10,2,False,True
TRIAL-0337,Phase 2,Breast Cancer,OncoPharm Therapeutics,Double Blind,2023-12-17,2025-07-09,19,80,74,5,1,True,False
TRIAL-0338,Phase 2,Lymphoma,OncoPharm Therapeutics,Double Blind,2020-02-10,2021-12-01,22,141,133,6,2,True,True
TRIAL-0339,Phase 4,Colorectal Cancer,Helix Therapeutics,Single Blind,2021-12-28,2026-02-05,50,278,204,7,1,False,True
TRIAL-0340,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2018-05-22,2019-08-15,15,18,15,3,1,False,False
TRIAL-0341,Phase 3,Lung Cancer,OncoPharm Therapeutics,Double Blind,2020-09-17,2023-12-01,39,531,451,15,1,False,False
TRIAL-0342,Phase 3,Colorectal Cancer,Apex Oncology Labs,Double Blind,2018-01-11,2021-06-24,42,496,309,13,3,False,False
TRIAL-0343,Phase 2,Lung Cancer,Apex Oncology Labs,Double Blind,2021-08-17,2024-03-04,31,85,63,6,2,False,True
TRIAL-0344,Phase 2,Colorectal Cancer,Apex Oncology Labs,Open Label,2022-11-24,2024-12-13,25,97,91,8,1,True,True
TRIAL-0345,Phase 3,Breast Cancer,OncoPharm Therapeutics,Triple Blind,2021-06-13,2023-11-30,30,469,429,15,2,True,False
TRIAL-0346,Phase 1,Breast Cancer,Helix Therapeutics,Single Blind,2023-11-14,2025-06-06,19,18,10,3,1,False,True
TRIAL-0347,Phase 1,Leukemia,Apex Oncology Labs,Single Blind,2020-02-17,2021-03-13,13,15,13,3,1,False,True
TRIAL-0348,Phase 1,Prostate Cancer,MedTrials International,Open Label,2021-02-15,2022-02-10,12,15,12,1,1,False,False
TRIAL-0349,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2019-05-19,2024-02-22,58,146,96,5,1,False,False
TRIAL-0350,Phase 3,Prostate Cancer,NovaCure Biotech,Double Blind,2019-12-18,2023-05-01,41,277,216,20,3,False,False
TRIAL-0351,Phase 1,Breast Cancer,NovaCure Biotech,Open Label,2020-11-27,2022-06-20,19,32,26,3,1,False,True
TRIAL-0352,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2023-12-10,2024-12-04,12,36,25,2,1,False,True
TRIAL-0353,Phase 2,Prostate Cancer,NovaCure Biotech,Single Blind,2019-12-09,2021-08-30,21,133,122,2,1,True,True
TRIAL-0354,Phase 4,Lymphoma,Clinical Research Group A,Double Blind,2018-10-04,2022-08-14,47,164,141,5,2,False,True
TRIAL-0355,Phase 2,Lymphoma,OncoPharm Therapeutics,Double Blind,2021-11-05,2024-11-19,37,89,49,2,1,False,True
TRIAL-0356,Phase 2,Leukemia,MedTrials International,Single Blind,2020-08-09,2024-02-20,43,93,52,8,2,False,True
TRIAL-0357,Phase 4,Colorectal Cancer,MedTrials International,Double Blind,2019-02-06,2022-12-17,47,185,123,2,1,False,True
TRIAL-0358,Phase 2,Lung Cancer,Helix Therapeutics,Single Blind,2020-08-09,2022-06-30,23,84,64,8,1,False,False
TRIAL-0359,Phase 1,Melanoma,MedTrials International,Open Label,2018-04-27,2020-01-17,21,38,25,3,1,False,False
TRIAL-0360,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2023-05-09,2024-06-02,13,41,29,1,1,False,False
TRIAL-0361,Phase 1,Lymphoma,MedTrials International,Open Label,2022-04-04,2023-09-26,18,29,24,3,1,False,True
TRIAL-0362,Phase 3,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2021-06-22,2026-10-24,65,386,249,12,1,False,False
TRIAL-0363,Phase 2,Melanoma,MedTrials International,Open Label,2019-11-15,2021-07-07,20,100,70,2,1,False,False
TRIAL-0364,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2018-03-19,2019-07-12,16,22,19,2,1,False,True
TRIAL-0365,Phase 3,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2019-03-09,2021-06-26,28,463,268,18,1,False,True
TRIAL-0366,Phase 3,Breast Cancer,Helix Therapeutics,Double Blind,2021-07-18,2027-08-16,74,520,305,12,2,False,True
TRIAL-0367,Phase 1,Lymphoma,Global BioResearch,Open Label,2022-04-21,2024-02-10,22,17,10,3,1,False,False
TRIAL-0368,Phase 2,Breast Cancer,NovaCure Biotech,Double Blind,2021-06-19,2023-04-10,22,116,64,4,1,False,True
TRIAL-0369,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Single Blind,2018-05-02,2020-02-21,22,126,64,3,1,False,False
TRIAL-0370,Phase 2,Leukemia,MedTrials International,Double Blind,2019-02-08,2020-10-30,21,100,91,3,1,True,False
TRIAL-0371,Phase 2,Breast Cancer,MedTrials International,Double Blind,2022-07-12,2025-06-26,36,133,110,3,1,False,False
TRIAL-0372,Phase 4,Colorectal Cancer,Global BioResearch,Open Label,2023-06-19,2026-05-04,35,160,91,4,2,False,True
TRIAL-0373,Phase 3,Colorectal Cancer,Helix Therapeutics,Triple Blind,2019-08-02,2024-01-08,54,598,567,46,2,True,True
TRIAL-0374,Phase 1,Prostate Cancer,OncoPharm Therapeutics,Open Label,2020-10-07,2021-10-02,12,21,15,1,1,False,False
TRIAL-0375,Phase 2,Colorectal Cancer,MedTrials International,Double Blind,2019-10-23,2022-05-10,31,131,104,4,1,False,False
TRIAL-0376,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2018-06-10,2020-12-26,31,387,127,7,1,False,True
TRIAL-0377,Phase 4,Lymphoma,MedTrials International,Double Blind,2019-12-18,2022-08-04,32,115,98,5,2,False,True
TRIAL-0378,Phase 4,Leukemia,Global BioResearch,Double Blind,2023-12-10,2026-03-29,28,326,212,10,1,False,True
TRIAL-0379,Phase 3,Lymphoma,MedTrials International,Triple Blind,2020-10-08,2026-03-11,66,358,261,6,1,False,False
TRIAL-0380,Phase 1,Pancreatic Cancer,Global BioResearch,Open Label,2019-06-11,2020-03-07,9,22,17,1,1,False,True
TRIAL-0381,Phase 3,Lung Cancer,MedTrials International,Double Blind,2020-04-08,2023-12-19,45,411,320,15,2,False,False
TRIAL-0382,Phase 2,Lung Cancer,Clinical Research Group A,Open Label,2021-12-14,2024-07-31,32,20,19,2,1,True,False
TRIAL-0383,Phase 3,Pancreatic Cancer,NovaCure Biotech,Double Blind,2021-10-21,2025-10-30,49,395,332,17,1,False,False
TRIAL-0384,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2020-01-11,2021-11-01,22,45,30,1,1,False,True
TRIAL-0385,Phase 1,Leukemia,Global BioResearch,Single Blind,2023-02-18,2024-12-09,22,22,10,1,1,False,False
TRIAL-0386,Phase 4,Leukemia,Helix Therapeutics,Double Blind,2021-11-06,2024-06-23,32,118,82,5,2,False,True
TRIAL-0387,Phase 2,Breast Cancer,OncoPharm Therapeutics,Single Blind,2021-12-18,2023-10-09,22,94,74,3,1,False,False
TRIAL-0388,Phase 3,Melanoma,Clinical Research Group A,Double Blind,2021-10-18,2025-01-30,40,395,305,12,1,False,False
TRIAL-0389,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2023-11-20,2025-06-12,19,24,21,2,1,False,True
TRIAL-0390,Phase 1,Prostate Cancer,Global BioResearch,Open Label,2021-02-10,2022-11-02,21,26,10,1,1,False,False
TRIAL-0391,Phase 2,Melanoma,OncoPharm Therapeutics,Double Blind,2021-06-06,2022-12-28,19,92,86,5,1,True,True
TRIAL-0392,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Open Label,2019-12-22,2021-11-11,23,95,61,4,1,False,True
TRIAL-0393,Phase 3,Lymphoma,MedTrials International,Double Blind,2022-07-18,2025-11-29,41,422,367,6,2,False,False
TRIAL-0394,Phase 4,Prostate Cancer,NovaCure Biotech,Open Label,2023-01-17,2026-05-01,40,195,173,17,3,False,True
TRIAL-0395,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2019-04-26,2021-02-14,22,111,76,5,1,False,True
TRIAL-0396,Phase 1,Lung Cancer,Clinical Research Group A,Open Label,2019-10-09,2021-04-01,18,31,23,3,1,False,True
TRIAL-0397,Phase 3,Lung Cancer,OncoPharm Therapeutics,Double Blind,2020-09-15,2025-12-18,64,457,409,40,2,False,False
TRIAL-0398,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2022-10-19,2024-07-10,21,41,37,1,1,True,False
TRIAL-0399,Phase 4,Lung Cancer,Helix Therapeutics,Double Blind,2020-07-09,2023-10-22,40,187,172,14,3,True,True
TRIAL-0400,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2022-11-23,2024-08-14,21,121,102,5,1,False,True
TRIAL-0401,Phase 2,Leukemia,Clinical Research Group A,Open Label,2020-06-01,2021-08-25,15,110,96,7,1,False,True
TRIAL-0402,Phase 3,Melanoma,Apex Oncology Labs,Triple Blind,2019-03-10,2021-07-27,29,213,162,8,2,False,False
TRIAL-0403,Phase 2,Leukemia,Apex Oncology Labs,Double Blind,2019-08-07,2021-11-24,28,63,59,6,2,True,False
TRIAL-0404,Phase 2,Pancreatic Cancer,MedTrials International,Double Blind,2022-03-03,2025-09-13,43,87,82,4,2,True,True
TRIAL-0405,Phase 2,Colorectal Cancer,MedTrials International,Double Blind,2019-04-27,2021-05-16,25,148,93,6,1,False,True
TRIAL-0406,Phase 1,Breast Cancer,Apex Oncology Labs,Open Label,2020-08-17,2021-02-13,6,28,23,2,1,False,True
TRIAL-0407,Phase 4,Breast Cancer,Global BioResearch,Single Blind,2021-10-18,2025-01-30,40,124,101,6,1,False,True
TRIAL-0408,Phase 1,Melanoma,Clinical Research Group A,Single Blind,2020-01-13,2021-11-03,22,15,12,1,1,False,True
TRIAL-0409,Phase 3,Prostate Cancer,MedTrials International,Double Blind,2020-11-14,2025-10-19,60,468,379,12,2,False,False
TRIAL-0410,Phase 3,Breast Cancer,NovaCure Biotech,Triple Blind,2018-04-09,2019-09-01,17,349,217,10,2,False,False
TRIAL-0411,Phase 4,Melanoma,NovaCure Biotech,Double Blind,2020-04-15,2023-11-26,44,134,55,8,1,False,True
TRIAL-0412,Phase 2,Lymphoma,Helix Therapeutics,Open Label,2023-06-18,2026-02-02,32,48,25,3,1,False,True
TRIAL-0413,Phase 2,Melanoma,Clinical Research Group A,Open Label,2020-05-21,2021-07-15,14,123,60,2,1,False,True
TRIAL-0414,Phase 2,Melanoma,Global BioResearch,Open Label,2018-10-13,2020-09-02,23,102,58,8,1,False,False
TRIAL-0415,Phase 3,Breast Cancer,Clinical Research Group A,Double Blind,2021-07-13,2026-03-19,57,465,182,14,2,False,False
